numerator,denominator,ratio
46,68,0.68
28,69,0.41
62,98,0.63
81,86,0.94
32,93,0.34
67,4,16.75
62,11,5.64
76,50,1.52
95,57,1.67
67,63,1.06
13,55,0.24
52,88,0.59
79,19,4.16
59,68,0.87
55,2,27.5
81,51,1.59
27,90,0.3
37,27,1.37
12,76,0.16
36,27,1.33
41,8,5.13
93,16,5.81
11,76,0.14
7,18,0.39
31,35,0.89
97,6,16.17
23,36,0.64
98,8,12.25
21,7,3
82,55,1.49
54,3,18
11,69,0.16
58,13,4.46
65,36,1.81
86,81,1.06
15,97,0.15
86,75,1.15
62,64,0.97
19,79,0.24
22,10,2.2
25,41,0.61
75,66,1.14
89,28,3.18
6,31,0.19
12,98,0.12
93,88,1.06
47,78,0.6
37,78,0.47
16,17,0.94
70,100,0.7
66,36,1.83
62,51,1.22
53,91,0.58
84,71,1.18
97,72,1.35
74,4,18.5
14,73,0.19
9,3,3
43,70,0.61
56,85,0.66
73,33,2.21
12,8,1.5
64,70,0.91
21,55,0.38
88,19,4.63
39,39,1
25,54,0.46
15,78,0.19
94,33,2.85
18,24,0.75
15,25,0.6
10,36,0.28
27,47,0.57
51,6,8.5
99,53,1.87
27,62,0.44
51,96,0.53
4,58,0.07
68,82,0.83
45,22,2.05
25,75,0.33
3,62,0.05
30,46,0.65
73,64,1.14
49,36,1.36
56,69,0.81
93,45,2.07
79,85,0.93
3,35,0.09
83,79,1.05
39,9,4.33
52,94,0.55
84,30,2.8
52,61,0.85
66,52,1.27
13,36,0.36
1,5,0.2
89,14,6.36
54,61,0.89
49,48,1.02
44,73,0.6
26,51,0.51
21,80,0.26
30,88,0.34
44,84,0.52
32,79,0.41
55,31,1.77
53,69,0.77
50,93,0.54
50,85,0.59
76,61,1.25
55,55,1
31,33,0.94
96,18,5.33
7,67,0.1
48,7,6.86
14,86,0.16
45,26,1.73
0,51,0
38,9,4.22
42,57,0.74
68,26,2.62
2,67,0.03
54,53,1.02
43,100,0.43
33,52,0.63
36,27,1.33
85,8,10.63
89,72,1.24
5,2,2.5
22,62,0.35
29,3,9.67
87,38,2.29
89,55,1.62
35,12,2.92
23,59,0.39
77,21,3.67
8,81,0.1
93,42,2.21
82,66,1.24
90,46,1.96
23,17,1.35
76,26,2.92
76,26,2.92
66,82,0.8
64,86,0.74
68,34,2
79,16,4.94
87,10,8.7
45,19,2.37
18,1,18
66,89,0.74
10,83,0.12
63,42,1.5
83,56,1.48
21,27,0.78
10,54,0.19
63,37,1.7
86,76,1.13
27,72,0.38
36,7,5.14
52,29,1.79
45,28,1.61
64,61,1.05
71,43,1.65
81,24,3.38
47,93,0.51
95,29,3.28
81,39,2.08
61,47,1.3
34,33,1.03
34,88,0.39
32,92,0.35
69,58,1.19
8,44,0.18
90,25,3.6
9,50,0.18
20,62,0.32
17,36,0.47
68,16,4.25
36,61,0.59
30,80,0.38
94,86,1.09
75,84,0.89
57,81,0.7
92,97,0.95
47,12,3.92
41,29,1.41
7,7,1
45,45,1
96,29,3.31
48,72,0.67
30,25,1.2
18,44,0.41
89,71,1.25
24,58,0.41
28,47,0.6
5,16,0.31
36,90,0.4
88,75,1.17
83,37,2.24
16,13,1.23
24,7,3.43
19,30,0.63
8,90,0.09
84,49,1.71
9,32,0.28
37,22,1.68
93,95,0.98
77,64,1.2
35,26,1.35
68,52,1.31
15,87,0.17
2,41,0.05
37,76,0.49
60,58,1.03
70,72,0.97
76,32,2.38
37,58,0.64
85,1,85
1,60,0.02
65,6,10.83
46,25,1.84
42,69,0.61
53,1,53
33,63,0.52
94,38,2.47
39,85,0.46
70,77,0.91
82,59,1.39
71,94,0.76
25,38,0.66
75,81,0.93
8,34,0.24
31,12,2.58
86,83,1.04
85,12,7.08
91,73,1.25
36,23,1.57
66,18,3.67
99,10,9.9
95,2,47.5
67,14,4.79
25,57,0.44
50,63,0.79
7,74,0.09
87,13,6.69
86,98,0.88
99,75,1.32
65,81,0.8
36,73,0.49
2,11,0.18
13,46,0.28
16,48,0.33
28,46,0.61
50,7,7.14
35,17,2.06
40,75,0.53
79,29,2.72
10,6,1.67
45,9,5
51,60,0.85
92,29,3.17
59,92,0.64
27,90,0.3
48,90,0.53
64,84,0.76
7,48,0.15
52,54,0.96
60,54,1.11
70,3,23.33
38,28,1.36
50,52,0.96
25,1,25
90,58,1.55
88,37,2.38
35,59,0.59
18,80,0.23
15,32,0.47
49,81,0.6
16,82,0.2
56,34,1.65
34,86,0.4
63,26,2.42
86,44,1.95
84,25,3.36
50,22,2.27
89,93,0.96
37,55,0.67
41,48,0.85
60,25,2.4
71,68,1.04
15,93,0.16
0,74,0
75,16,4.69
74,52,1.42
21,80,0.26
88,50,1.76
21,50,0.42
3,53,0.06
99,74,1.34
80,89,0.9
99,63,1.57
12,51,0.24
24,64,0.38
47,69,0.68
28,58,0.48
95,34,2.79
68,43,1.58
10,46,0.22
54,32,1.69
85,87,0.98
25,55,0.45
37,72,0.51
1,60,0.02
63,96,0.66
17,43,0.4
77,20,3.85
9,8,1.13
19,84,0.23
66,11,6
15,90,0.17
29,70,0.41
60,91,0.66
53,74,0.72
40,84,0.48
56,43,1.3
62,69,0.9
5,3,1.67
24,62,0.39
37,50,0.74
74,64,1.16
21,70,0.3
11,39,0.28
27,25,1.08
60,33,1.82
59,12,4.92
68,30,2.27
1,76,0.01
98,67,1.46
14,73,0.19
56,12,4.67
5,32,0.16
69,56,1.23
69,81,0.85
16,22,0.73
20,21,0.95
15,46,0.33
40,22,1.82
89,94,0.95
93,43,2.16
17,1,17
80,30,2.67
46,47,0.98
82,17,4.82
79,72,1.1
51,13,3.92
47,36,1.31
3,64,0.05
93,71,1.31
84,38,2.21
22,29,0.76
69,6,11.5
26,96,0.27
14,2,7
84,55,1.53
97,13,7.46
4,47,0.09
85,18,4.72
65,29,2.24
14,26,0.54
25,87,0.29
70,34,2.06
3,68,0.04
49,36,1.36
43,5,8.6
51,65,0.78
50,74,0.68
94,53,1.77
39,61,0.64
84,58,1.45
57,54,1.06
73,21,3.48
50,16,3.13
3,72,0.04
58,47,1.23
7,82,0.09
70,20,3.5
96,87,1.1
58,74,0.78
27,10,2.7
45,73,0.62
96,68,1.41
19,47,0.4
52,69,0.75
3,16,0.19
73,85,0.86
72,49,1.47
62,72,0.86
68,60,1.13
28,6,4.67
38,83,0.46
1,50,0.02
8,18,0.44
81,92,0.88
77,31,2.48
47,84,0.56
45,65,0.69
18,14,1.29
9,48,0.19
36,65,0.55
87,65,1.34
29,55,0.53
97,58,1.67
53,19,2.79
62,44,1.41
58,26,2.23
44,17,2.59
70,76,0.92
59,87,0.68
52,57,0.91
38,87,0.44
95,60,1.58
61,26,2.35
87,28,3.11
69,66,1.05
63,79,0.8
74,57,1.3
95,100,0.95
91,2,45.5
12,71,0.17
11,64,0.17
68,21,3.24
87,24,3.63
85,57,1.49
91,63,1.44
89,28,3.18
27,2,13.5
17,95,0.18
43,54,0.8
86,67,1.28
51,22,2.32
64,81,0.79
64,32,2
77,95,0.81
53,5,10.6
49,26,1.88
73,35,2.09
96,21,4.57
62,84,0.74
65,2,32.5
64,77,0.83
47,35,1.34
90,94,0.96
91,12,7.58
62,39,1.59
7,3,2.33
69,87,0.79
3,95,0.03
47,4,11.75
49,48,1.02
8,96,0.08
59,81,0.73
9,59,0.15
0,24,0
99,84,1.18
39,51,0.76
64,85,0.75
17,45,0.38
75,20,3.75
64,20,3.2
30,42,0.71
44,30,1.47
33,5,6.6
55,8,6.88
96,77,1.25
71,83,0.86
78,2,39
84,20,4.2
91,57,1.6
43,53,0.81
93,66,1.41
37,96,0.39
12,91,0.13
73,27,2.7
24,54,0.44
44,13,3.38
66,94,0.7
85,2,42.5
48,28,1.71
59,34,1.74
29,72,0.4
78,59,1.32
97,79,1.23
96,99,0.97
0,84,0
24,38,0.63
87,16,5.44
17,54,0.31
